slug,thumbnail_path,file_exists,file_readable,generated_in_archive,generated_in_detail_page,thumbnail_status,image_type,issue_found,action_taken
ren-2023-multifunctional,/media/publications/ren-2023-multifunctional/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
tang-2023-moisture,/media/publications/tang-2023-moisture/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2023-forecasting,/media/publications/chang-2023-forecasting/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Validated real thumbnail path and generated references.
zhao-2023-excitation,/media/publications/zhao-2023-excitation/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2023-achieving,/media/publications/chang-2023-achieving/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2022-role,/media/publications/jiang-2022-role/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2022-prediction,/media/publications/chang-2022-prediction/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
meng-2022-organic,/media/publications/meng-2022-organic/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2022-improved,/media/publications/chang-2022-improved/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
wang-2022-germanium,/media/publications/wang-2022-germanium/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
wang-2022-filling,/media/publications/wang-2022-filling/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2022-constructing,/media/publications/chang-2022-constructing/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
ji-2022-colloidal,/media/publications/ji-2022-colloidal/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2022-boosting,/media/publications/chang-2022-boosting/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
liu-2021-ultra,/media/publications/liu-2021-ultra/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2021-role,/media/publications/jiang-2021-role/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
robin-2021-stretchable,/media/publications/robin-2021-stretchable/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2021-stabilizing,/media/publications/jiang-2021-stabilizing/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Validated real thumbnail path and generated references.
zhang-2021-multifunctional,/media/publications/zhang-2021-multifunctional/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
caiazzo-2021-effect,/media/publications/caiazzo-2021-effect/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
luo-2020-impacts,/media/publications/luo-2020-impacts/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
liu-2020-near,/media/publications/liu-2020-near/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
li-2020-microscopic,/media/publications/li-2020-microscopic/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2020-atomistic,/media/publications/jiang-2020-atomistic/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
cao-2020-alkali,/media/publications/cao-2020-alkali/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
liu-2019-gei-2,/media/publications/liu-2019-gei-2/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
tao-2019-absolute,/media/publications/tao-2019-absolute/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Validated real thumbnail path and generated references.
zhang-2018-tunable,/media/publications/zhang-2018-tunable/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2018-stabilizing,/media/publications/jiang-2018-stabilizing/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Validated real thumbnail path and generated references.
bartesaghi-2018-partially,/media/publications/bartesaghi-2018-partially/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
meng-2018-novel,/media/publications/meng-2018-novel/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
yang-2017-intriguing,/media/publications/yang-2017-intriguing/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
yang-2017-first,/media/publications/yang-2017-first/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
meng-2016-first,/media/publications/meng-2016-first/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
zheng-2017-first,/media/publications/zheng-2017-first/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Validated real thumbnail path and generated references.
jiang-2017-exploration,/media/publications/jiang-2017-exploration/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
zhang-2017-electrical,/media/publications/zhang-2017-electrical/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Validated real thumbnail path and generated references.
sun-2017-adsorption,/media/publications/sun-2017-adsorption/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
liang-2016-tuning,/media/publications/liang-2016-tuning/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2016-tuning,/media/publications/jiang-2016-tuning/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chen-2016-tunable,/media/publications/chen-2016-tunable/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2016-influence,/media/publications/jiang-2016-influence/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chen-2016-electronic,/media/publications/chen-2016-electronic/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
liang-2016-sorption,/media/publications/liang-2016-sorption/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Validated real thumbnail path and generated references.
chen-2016-sige,/media/publications/chen-2016-sige/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2016-graphane,/media/publications/jiang-2016-graphane/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chen-2016-functionalization,/media/publications/chen-2016-functionalization/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Validated real thumbnail path and generated references.
yang-2016-first,/media/publications/yang-2016-first/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
sun-2016-first,/media/publications/sun-2016-first/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
liang-2016-electronic,/media/publications/liang-2016-electronic/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chen-2016-electrical,/media/publications/chen-2016-electrical/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chen-2016-effect,/media/publications/chen-2016-effect/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
meng-2016-design,/media/publications/meng-2016-design/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
tan-2016-alas,/media/publications/tan-2016-alas/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
yang-2016-aln,/media/publications/yang-2016-aln/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chen-2016-ab,/media/publications/chen-2016-ab/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chen-2015-molecular,/media/publications/chen-2015-molecular/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
liang-2015-molecular,/media/publications/liang-2015-molecular/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
ni-2015-gas,/media/publications/ni-2015-gas/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chen-2015-first,/media/publications/chen-2015-first/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Validated real thumbnail path and generated references.
chen-2015-ab,/media/publications/chen-2015-ab/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2015-ab,/media/publications/jiang-2015-ab/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
