slug,title,displayed_publication_year,doi_found_in_page,status
jiang-2018-stabilizing,Stabilizing lead-free all-inorganic tin halide Perovskites by ion exchange,2018,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2020-atomistic,Atomistic and Electronic Origin of Phase Instability of Metal Halide Perovskites,2020,https://doi.org/10.1021/acsaem.0c00791,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2021-role,The role of sodium in stabilizing tin-lead (Sn-Pb) alloyed perovskite quantum dots,2021,https://doi.org/10.1039/D1TA00955A,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2021-stabilizing,Stabilizing metal halide perovskites by computational compositional engineering,2021,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2022-role,The role of solvents in the formation of methylammonium lead triiodide perovskite,2022,https://doi.org/10.1016/j.jechem.2021.12.030,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2023-flexible,"Flexible and Efficient Semi-Empirical DFTB methods for Electronic Structure Prediction of 3D, 2D and 3D/2D Halide Perovskites",2023,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2023-scale,Scale-up Solutions of 2D Perovskite Photovoltaics: Insights of Multiscale Structures,2023,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2024-flexible,"Flexible and Efficient Semi-Empirical DFTB methods for Electronic Structure Prediction of 3D, 2D Perovskites and Heterostructures",2024,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
katan-2022-recent,Recent results on metal halide perovskites and their interfaces,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
li-2020-microscopic,Microscopic Degradation in Formamidinium-Cesium Lead Iodide Perovskite Solar Cells under Operational Stressors,2020,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
li-2022-efficient,Efficient Extraction of Hot Carriers in Perovskite Quantum Dot through Building State Coupled Complex,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
li-2024-electronic,Electronic coupling between perovskite nanocrystal and fullerene modulates hot carrier capture,2024,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
liang-2015-molecular,Molecular modeling design of polyaniline as carbon dioxide sensor,2015,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
liang-2016-electronic,Electronic properties and work functions of silicane/fully hydrogenated h-BN and silicane/graphane nanosheets,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
liang-2016-sorption,Sorption and diffusion of water vapor and carbon dioxide in sulfonated polyaniline as chemical sensing materials,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
liang-2016-tuning,Tuning the electronic properties and work functions of graphane/fully hydrogenated h-BN heterobilayers via heteronuclear dihydrogen bonding and electric field control,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
liu-2019-gei-2,GeI2 Additive for High Optoelectronic Quality CsPbI3 Quantum Dots and Their Application in Photovoltaic Devices,2019,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
liu-2020-near,Near-Infrared Emission from Tin--Lead (Sn--Pb) Alloyed Perovskite Quantum Dots by Sodium Doping,2020,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
liu-2021-ultra,Ultra-Halide-Rich Synthesis of Stable Pure Tin-Based Halide Perovskite Quantum Dots: Implications for Photovoltaics,2021,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
luo-2020-impacts,The Impacts and Origins of A-site Instability in Formamidinium-Cesium Lead Iodide Perovskite Solar Cells Under Extended Operation,2020,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
meng-2016-design,Design of graphene-like gallium nitride and WS 2/WSe 2 nanocomposites for photocatalyst applications,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
meng-2016-first,First principles investigation of small molecules adsorption on antimonene,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
meng-2017-first,First principles investigation of small molecules adsorption on antimonene (EI 收录),2017,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
meng-2018-novel,Novel GaN-based nanocomposites: Effective band structure and optical property tuning by tensile strain or external field,2018,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
meng-2022-organic,Organic--Inorganic Hybrid Cuprous-Based Metal Halides for Warm White Light-Emitting Diodes,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
meng-2024-organic,Organic-Inorganic Hybrid Cuprous-Based Metal Halides with Unique Two-Dimensional Crystal Structure for White Light-Emitting Diodes,2024,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
ni-2015-gas,Gas adsorption on graphene with different layers: A first-principles study,2015,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
ramadan-2024-role,The Role of the Organic Cation in Developing Efficient Green Perovskite LEDs Based on Quasi-2D Perovskite Heterostructures,2024,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
ren-2022-steering,Steering device-quality perovskites with unique substrate tolerance,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
ren-2023-multifunctional,Multifunctional Additive CdAc2 for Efficient Perovskite-Based Solar Cells,2023,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
robin-2021-stretchable,"Stretchable AgX (X= Se, Te) for Efficient Thermoelectrics and Photovoltaics",2021,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
shen-2020-angewandte,Angewandte,2020,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
sun-1999-adsorption,Adsorption of gas molecules on graphene-like InN,1999,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
sun-2016-first,First-principles study of gas adsorptin on indium nitride monolayer as gas sensor applications,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
sun-2017-adsorption,Adsorption of gas molecules on graphene-like InN monolayer: A first-principle study,2017,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
tan-2016-alas,An AlAs/germanene heterostructure with tunable electronic and optical properties via external electric field and strain,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
tang-2023-moisture,"Moisture-Insensitive, Phase-Stable Indium-Based Metal Halides and Their Light-Emitting Applications",2023,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
tao-2019-absolute,Absolute energy level positions in tin-and lead-based halide perovskites. Nat Commun 10: 2560,2019,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
thebaud-2024-extending,Extending tight-binding models from bulk to layered halide perovskites,2024,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
traore-2022-recent,Recent results on metal halide perovskites and their interfaces,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
wang-2022-filling,Filling chlorine vacancy with bromine: A two-step hot-injection approach achieving defect-free hybrid halogen perovskite nanocrystals,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
wang-2022-germanium,Germanium Halides Serving as Ideal Precursors: Designing a More Effective and Less Toxic Route to High-Optoelectronic-Quality Metal Halide Perovskite Nanocrystals,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
wang-2023-ultraviolet,Ultraviolet Emission from Cerium-Based Organic-Inorganic Hybrid Halides and Their Abnormal Anti-Thermal Quenching Behavior,2023,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
xi-2023-mechanism,On the mechanism of solvents catalyzed structural transformation in metal halide perovskites,2023,https://doi.org/10.1002/adma.202302896,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
xianping-2016-ab,Ab Initio Study of the Adsorption of Small Molecules on Stanene,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
xianping-2016-electrical,Electrical and Optical Properties of Germanene on Single-Layer BeO Substrate,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
yang-2016-aln,AlN/BP heterostructure photocatalyst for water splitting,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
yang-2016-first,First-principles study of sulfur dioxide sensor based on phosphorenes,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
yang-2017-first,First-principles approach to design and evaluation of graphene as methane sensors,2017,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
yang-2017-intriguing,The intriguing electronic and optical properties modulation of hydrogen and fluorine codecorated silicene layers,2017,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
yang-2025-off,On-Off Switching of Singlet Self-Trapped Exciton Emission Endows Antimony-Doped Indium Halides with Excitation-Wavelength-Dependent Luminescence,2025,https://doi.org/10.1002/smll.202407892,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
yeoh-2024-computational,Computational Screening of a Single-Atom Catalyst Supported by Monolayer Nb2S2C for Oxygen Reduction Reaction,2024,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
zhang-2017-electrical,Electrical and optical properties of NO and H 2 S adsorption on Arsenic Phosphorus,2017,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
zhang-2018-tunable,Tunable electronic properties of silicene/GaP heterobilayer: Effects of electric field or biaxial tensile strain,2018,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
zhang-2021-multifunctional,Multifunctional molecule engineered SnO2 for perovskite solar cells with high efficiency and reduced lead leakage,2021,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
zhao-2023-excitation,Excitation Wavelength-Dependent Fluorescence of a Lanthanide Organic Metal Halide Cluster for Anti-Counterfeiting Applications,2023,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
zheng-2017-first,First principle design of CdS/germanene heterostructures with tunable electronic and transport properties,2017,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
